   size tlevel
  50000      2
  6e+05      3
 150000      2
  6e+05      5
 250000      3
  9e+05      6
 250000      2
 350000      6
 350000      3
 650000      4
  5e+05      5
  4e+05      4
  7e+05      4
 150000      3
  5e+05      6
 450000      3
 950000      4
 250000      4
  8e+05      2
  1e+05      4
  1e+06      5
 250000      5
  2e+05      4
  6e+05      6
  7e+05      2
 850000      3
  1e+06      3
 550000      4
  7e+05      6
  7e+05      5
  4e+05      6
 550000      6
  9e+05      2
 550000      3
 450000      5
  5e+05      2
 950000      3
 450000      6
 650000      5
 750000      5
 550000      5
  1e+05      5
 950000      6
  50000      4
  50000      6
 950000      2
  1e+06      4
  8e+05      5
  2e+05      2
  2e+05      5
 150000      4
 750000      3
 850000      2
  8e+05      3
 150000      5
 350000      4
  50000      3
  7e+05      3
 650000      3
 750000      4
 850000      4
 950000      5
 450000      2
  1e+06      2
  4e+05      5
  3e+05      4
 650000      2
 750000      2
 150000      6
  8e+05      4
 750000      6
 850000      5
  2e+05      3
  5e+05      4
  9e+05      5
  3e+05      3
 850000      6
  9e+05      3
  1e+06      6
 650000      6
 550000      2
  4e+05      2
  5e+05      3
  6e+05      2
  3e+05      2
  6e+05      4
 350000      2
  8e+05      6
  1e+05      6
  3e+05      5
  1e+05      2
  1e+05      3
 350000      5
  9e+05      4
  50000      5
  4e+05      3
 450000      4
 250000      6
  2e+05      6
  3e+05      6
 450000      4
 650000      6
  1e+06      4
  3e+05      3
  50000      6
  1e+06      3
 550000      4
 950000      3
 350000      3
 350000      5
  4e+05      2
  6e+05      4
 150000      3
  1e+06      5
  8e+05      3
  4e+05      4
  7e+05      3
 250000      4
 350000      6
  1e+05      2
  2e+05      5
  50000      5
 650000      4
  6e+05      5
 150000      2
 750000      2
 550000      3
  9e+05      5
 550000      6
  7e+05      4
 850000      4
 150000      5
 250000      5
 850000      3
  1e+05      5
 150000      4
  5e+05      6
  9e+05      2
 450000      2
  7e+05      5
  5e+05      4
 450000      3
 950000      2
  50000      4
  1e+05      4
  9e+05      6
 250000      3
 450000      5
  2e+05      4
  9e+05      4
  2e+05      2
 250000      6
 150000      6
 850000      5
 950000      4
  1e+06      6
 650000      2
 350000      2
  5e+05      3
  3e+05      2
 850000      6
  3e+05      5
 350000      4
 550000      2
  4e+05      3
  8e+05      6
 650000      5
 750000      3
  7e+05      2
  3e+05      4
 250000      2
  6e+05      6
  1e+05      6
  5e+05      5
  1e+05      3
  50000      3
